subject,finger1,finger2,accuracy
S1,little,index,53.0
S1,middle,index,51.0
S1,middle,little,51.0
S1,ring,index,77.0
S1,ring,little,77.0
S1,ring,middle,78.0
S1,thumb,index,61.0
S1,thumb,little,52.0
S1,thumb,middle,57.99999999999999
S1,thumb,ring,84.00000000000001
S2,little,index,55.99999999999999
S2,middle,index,55.99999999999999
S2,middle,little,55.00000000000001
S2,ring,index,61.0
S2,ring,little,57.999999999999986
S2,ring,middle,61.999999999999986
S2,thumb,index,56.99999999999999
S2,thumb,little,54.0
S2,thumb,middle,50.0
S2,thumb,ring,59.0
S3,little,index,62.0
S3,middle,index,63.0
S3,middle,little,52.0
S3,ring,index,68.0
S3,ring,little,70.0
S3,ring,middle,63.0
S3,thumb,index,61.999999999999986
S3,thumb,little,53.0
S3,thumb,middle,51.0
S3,thumb,ring,71.00000000000001
S4,little,index,55.00000000000001
S4,middle,index,51.0
S4,middle,little,52.0
S4,ring,index,51.99999999999999
S4,ring,little,57.00000000000001
S4,ring,middle,55.00000000000001
S4,thumb,index,52.0
S4,thumb,little,54.0
S4,thumb,middle,55.99999999999999
S4,thumb,ring,50.0
S5,little,index,49.00000000000001
S5,middle,index,54.0
S5,middle,little,63.0
S5,ring,index,53.99999999999999
S5,ring,little,53.0
S5,ring,middle,59.00000000000001
S5,thumb,index,52.000000000000014
S5,thumb,little,45.0
S5,thumb,middle,51.99999999999999
S5,thumb,ring,49.00000000000001
