subject,finger1,finger2,accuracy
S1,little,index,57.99999999999999
S1,middle,index,52.0
S1,middle,little,50.000000000000014
S1,ring,index,76.0
S1,ring,little,81.0
S1,ring,middle,82.0
S1,thumb,index,63.99999999999999
S1,thumb,little,53.0
S1,thumb,middle,51.0
S1,thumb,ring,86.99999999999999
S2,little,index,55.99999999999999
S2,middle,index,57.99999999999999
S2,middle,little,49.00000000000001
S2,ring,index,61.0
S2,ring,little,53.0
S2,ring,middle,61.0
S2,thumb,index,59.0
S2,thumb,little,55.00000000000001
S2,thumb,middle,46.00000000000001
S2,thumb,ring,59.0
S3,little,index,63.0
S3,middle,index,59.00000000000001
S3,middle,little,53.0
S3,ring,index,65.99999999999999
S3,ring,little,70.0
S3,ring,middle,65.99999999999999
S3,thumb,index,61.999999999999986
S3,thumb,little,53.0
S3,thumb,middle,50.0
S3,thumb,ring,75.00000000000001
S4,little,index,55.00000000000001
S4,middle,index,50.0
S4,middle,little,53.0
S4,ring,index,51.0
S4,ring,little,55.99999999999999
S4,ring,middle,51.0
S4,thumb,index,53.0
S4,thumb,little,55.00000000000001
S4,thumb,middle,55.99999999999999
S4,thumb,ring,54.0
S5,little,index,51.0
S5,middle,index,52.0
S5,middle,little,58.00000000000001
S5,ring,index,53.0
S5,ring,little,46.00000000000001
S5,ring,middle,53.99999999999999
S5,thumb,index,51.0
S5,thumb,little,46.00000000000001
S5,thumb,middle,51.99999999999999
S5,thumb,ring,50.0
